,pdb,Hchain,Lchain,antigen_chain,resolution,date,mrc,antibody_selection,antigen_selection
128,8dlz,H,,C,2.57,01/08/09,27521,chain H,chain C
126,8dlx,H,,C | A,2.45,01/08/09,27519,chain H,chain C or chain A
433,3jbd,7,,3,4.7,08/26/15,5886,chain 7,chain 3
573,3jbc,7,,3,5.6,08/26/15,5888,chain 7,chain 3
454,5tsj,1,,J | H,8.7,10/29/16,8462,chain 1,chain J or chain H
455,5tsj,2,,G | I,8.7,10/29/16,8462,chain 2,chain G or chain I
553,6itc,V,,Y | E,3.45,11/21/18,9731,chain V,chain Y or chain E
552,6itc,C,,G | A,3.45,11/21/18,9731,chain C,chain G or chain A
611,6ni2,A,,B | V,4.0,12/26/18,9375,chain A,chain B or chain V
336,6qfa,N,,E,2.49,01/09/19,4542,chain N,chain E
339,6qfa,O,,A,2.49,01/09/19,4542,chain O,chain A
338,6qfa,M,,D,2.49,01/09/19,4542,chain M,chain D
335,6qfa,K,,B,2.49,01/09/19,4542,chain K,chain B
337,6qfa,L,,C,2.49,01/09/19,4542,chain L,chain C
367,6vcb,N,,A | B,3.3,12/20/19,21147,chain N,chain A or chain B
343,6lmk,N,,A | B,3.7,12/26/19,0917,chain N,chain A or chain B
418,6vn7,N,,A | B,3.2,01/29/20,21249,chain N,chain A or chain B
584,6wi9,N,,A | B,4.3,04/09/20,21683,chain N,chain A or chain B
435,7bw0,N,,A | B | G,3.9,04/12/20,30221,chain N,chain A or chain B or chain G
592,7bz2,N,,B | A,3.82,04/26/20,30249,chain N,chain B or chain A
311,6wpw,N,,C | D | G,3.1,04/28/20,21866,chain N,chain C or chain D or chain G
594,7c2e,N,,A | B,4.2,05/07/20,30274,chain N,chain A or chain B
614,6ww2,K,,L,3.7,05/07/20,21927,chain K,chain L
576,6wzg,N,,A | B | G,2.3,05/13/20,21972,chain N,chain A or chain B or chain G
444,6x19,N,,A | B,2.1,05/18/20,21993,chain N,chain A or chain B
567,6x18,N,,A | B | G,2.1,05/18/20,21992,chain N,chain A or chain B or chain G
564,6x1a,N,,A | B,2.5,05/18/20,21994,chain N,chain A or chain B
490,6zhd,D,,A,3.7,06/22/20,11218,chain D,chain A
491,6zhd,E,,C,3.7,06/22/20,11218,chain E,chain C
492,6zhd,F,,B,3.7,06/22/20,11218,chain F,chain B
257,7cfm,N,,A | B | G,3.0,06/27/20,30344,chain N,chain A or chain B or chain G
241,7cfn,N,,A | B,3.0,06/27/20,30345,chain N,chain A or chain B
453,7ckx,N,,A | B | G,3.54,07/20/20,30393,chain N,chain A or chain B or chain G
615,7jhh,N,,L,3.92,07/20/20,22337,chain N,chain L
409,7ckw,N,,A | B | G,3.22,07/20/20,30392,chain N,chain A or chain B or chain G
542,7jhg,N,,L,3.47,07/20/20,22336,chain N,chain L
545,7ckz,N,,A | B | G,3.1,07/20/20,30395,chain N,chain A or chain B or chain G
589,7cky,N,,A | B | G,3.2,07/20/20,30394,chain N,chain A or chain B or chain G
546,7jjo,N,,A | B,2.6,07/27/20,22357,chain N,chain A or chain B
302,6zxn,F,,C,2.93,07/30/20,11526,chain F,chain C
303,6zxn,D,,A,2.93,07/30/20,11526,chain D,chain A
304,6zxn,E,,B,2.93,07/30/20,11526,chain E,chain B
485,7crh,N,,A | B,3.3,08/13/20,30452,chain N,chain A or chain B
252,7a29,E,,B,2.94,08/16/20,11617,chain E,chain B
463,7a25,E,,B,3.06,08/16/20,11616,chain E,chain B
462,7a25,D,,A,3.06,08/16/20,11616,chain D,chain A
464,7a25,F,,C,3.06,08/16/20,11616,chain F,chain C
253,7a29,F,,C,2.94,08/16/20,11617,chain F,chain C
251,7a29,D,,A,2.94,08/16/20,11617,chain D,chain A
493,7jv5,N,,A | B | G,3.0,08/20/20,22493,chain N,chain A or chain B or chain G
569,7a5v,O,,A,1.7,08/22/20,11657,chain O,chain A
526,7jvp,N,,A | B | G,2.9,08/22/20,22509,chain N,chain A or chain B or chain G
547,7jvq,N,,A | B | G,3.0,08/22/20,22510,chain N,chain A or chain B or chain G
321,7jwb,D,,A | B,3.2,08/25/20,22514,chain D,chain A or chain B
443,7cx2,N,,A | B,2.8,09/01/20,30489,chain N,chain A or chain B
557,7cx3,N,,A | B,2.8,09/01/20,30490,chain N,chain A or chain B
314,7cx4,N,,A | B,2.9,09/01/20,30491,chain N,chain A or chain B
281,7cz5,N,,A | B,2.6,09/07/20,30505,chain N,chain A or chain B
550,7k65,B,,A,3.4,09/18/20,22689,chain B,chain A
517,7d3s,N,,A | B | G,2.9,09/20/20,30566,chain N,chain A or chain B or chain G
551,7d68,N,,A | B,3.0,09/29/20,30590,chain N,chain A or chain B
587,7d7m,E,,D | B,3.3,10/05/20,30608,chain E,chain D or chain B
387,7kh0,S,,A,2.8,10/19/20,22872,chain S,chain A
386,7kh0,N,,A | B,2.8,10/19/20,22872,chain N,chain A or chain B
340,7ki1,N,,A | B | G,2.5,10/22/20,22883,chain N,chain A or chain B or chain G
452,7ki0,N,,A | B | G,2.5,10/22/20,22882,chain N,chain A or chain B or chain G
272,7kkl,F,,D,2.85,10/27/20,22910,chain F,chain D
273,7kkl,B,,A,2.85,10/27/20,22910,chain B,chain A
539,7kkk,B,,A,3.03,10/27/20,22907,chain B,chain A
540,7kkk,D,,C,3.03,10/27/20,22907,chain D,chain C
541,7kkk,F,,E,3.03,10/27/20,22907,chain F,chain E
271,7kkl,E,,C,2.85,10/27/20,22910,chain E,chain C
405,7dge,D,,B,3.65,11/11/20,30672,chain D,chain B
404,7dge,C,,A,3.65,11/11/20,30672,chain C,chain A
407,7dh5,N,,A | B,3.16,11/12/20,30678,chain N,chain A or chain B
593,7dhi,N,,A | B,3.26,11/15/20,30681,chain N,chain A or chain B
432,7dhr,N,,A | B | G,3.8,11/17/20,30682,chain N,chain A or chain B or chain G
262,7ksg,F,,C,3.33,11/22/20,23018,chain F,chain C
261,7ksg,E,,B,3.33,11/22/20,23018,chain E,chain B
260,7ksg,D,,A,3.33,11/22/20,23018,chain D,chain A
497,7b17,B,,A,4.01,11/23/20,11980,chain B,chain A
544,7b14,D,,A,3.79,11/23/20,11978,chain D,chain A
285,7b18,I,,C,2.62,11/24/20,11981,chain I,chain C
283,7b18,H,,C,2.62,11/24/20,11981,chain H,chain C
286,7b18,E,,A,2.62,11/24/20,11981,chain E,chain A
284,7b18,D,,A,2.62,11/24/20,11981,chain D,chain A
288,7b18,F,,B,2.62,11/24/20,11981,chain F,chain B
287,7b18,G,,B,2.62,11/24/20,11981,chain G,chain B
249,7b2q,D,,C | B,3.76,11/27/20,11990,chain D,chain C or chain B
565,7b2p,D,,B | A,3.43,11/27/20,11989,chain D,chain B or chain A
537,7b2m,D,,B | A,3.39,11/27/20,11988,chain D,chain B or chain A
577,7bb6,B,,C | E,4.2,12/17/20,12128,chain B,chain C or chain E
548,7bb7,G,,E | C | F,4.4,12/17/20,12129,chain G,chain E or chain C or chain F
586,7bc7,B,,A,3.3,12/18/20,12141,chain B,chain A
529,7bc6,B,,A,3.2,12/18/20,12140,chain B,chain A
451,7dst,E,,C,3.1,01/02/21,30845,chain E,chain C
513,7dss,A,,1 | 3,3.9,01/02/21,30843,chain A,chain 1 or chain 3
482,7dty,N,,A | B | G,2.98,01/06/21,30860,chain N,chain A or chain B or chain G
392,7dur,N,,A | B,3.3,01/11/21,30867,chain N,chain A or chain B
401,7duq,N,,A | B,2.5,01/11/21,30866,chain N,chain A or chain B
419,7ljd,N,,A | B | G,3.2,01/28/21,23391,chain N,chain A or chain B or chain G
502,7ljc,N,,A | B | G,3.0,01/28/21,23390,chain N,chain A or chain B or chain G
595,7e14,N,,A | B,2.9,01/30/21,30936,chain N,chain A or chain B
332,7lll,N,,A | B,3.7,02/04/21,23425,chain N,chain A or chain B
536,7lly,N,,A | B,3.3,02/04/21,23436,chain N,chain A or chain B
510,7ngh,D,,B,3.5,02/09/21,12314,chain D,chain B
477,7lpn,I,,F,3.61,02/12/21,23480,chain I,chain F
280,7nik,F,,A | B,6.2,02/12/21,12361,chain F,chain A or chain B
532,7nil,F,,A,5.01,02/12/21,12362,chain F,chain A
