,pdb,Hchain,Lchain,antigen_chain,resolution,date,mrc,antibody_selection,antigen_selection
464,7uhz,H,L,A,3.3,01/08/09,26520,chain H or chain L,chain A
837,8dd3,K,L,D,2.9,01/08/09,27333,chain K or chain L,chain D
200,8csj,F,G,C,3.53,01/08/09,26964,chain F or chain G,chain C
199,8csj,D,E,B,3.53,01/08/09,26964,chain D or chain E,chain B
198,8csj,H,L,A,3.53,01/08/09,26964,chain H or chain L,chain A
836,8dd3,J,I,B,2.9,01/08/09,27333,chain J or chain I,chain B
745,7x4k,H,L,B | C,3.82,01/08/09,33004,chain H or chain L,chain B or chain C
744,7x3f,H,L,B | C,3.52,01/08/09,32986,chain H or chain L,chain B or chain C
743,7x38,H,L,A | C | B,3.52,01/08/09,32981,chain H or chain L,chain A or chain C or chain B
742,7x37,H,L,B,3.31,01/08/09,32980,chain H or chain L,chain B
741,7x2g,H,L,B,3.58,01/08/09,32967,chain H or chain L,chain B
740,7t77,H,L,E | C | A,4.75,01/08/09,25736,chain H or chain L,chain E or chain C or chain A
739,7t73,H,L,E | C | A,4.0,01/08/09,25732,chain H or chain L,chain E or chain C or chain A
867,7u0p,E,F,C,3.76,01/08/09,26262,chain E or chain F,chain C
738,7t76,H,L,E | C | A,4.43,01/08/09,25735,chain H or chain L,chain E or chain C or chain A
735,7t74,M,N,F | C,3.35,01/08/09,25733,chain M or chain N,chain F or chain C
734,7t74,H,L,A | E,3.35,01/08/09,25733,chain H or chain L,chain A or chain E
733,7t74,K,G,D,3.35,01/08/09,25733,chain K or chain G,chain D
129,8fl1,H,L,I | G | C,3.75,01/08/09,29264,chain H or chain L,chain I or chain G or chain C
128,8fk5,H,L,I | G | C,3.4,01/08/09,29248,chain H or chain L,chain I or chain G or chain C
732,7t9b,H,L,E | C | A,3.72,01/08/09,25755,chain H or chain L,chain E or chain C or chain A
101,8cxg,1,2,B,3.2,01/08/09,27055,chain 1 or chain 2,chain B
100,8cxg,h,l,C,3.2,01/08/09,27055,chain h or chain l,chain C
99,8cxg,H,L,A,3.2,01/08/09,27055,chain H or chain L,chain A
98,7x3y,H,L,B | C,3.32,01/08/09,32997,chain H or chain L,chain B or chain C
88,8cxh,h,l,C | B,3.2,01/08/09,27056,chain h or chain l,chain C or chain B
87,8cxh,H,L,A,3.2,01/08/09,27056,chain H or chain L,chain A
737,7t75,H,L,B | A,2.7,01/08/09,25734,chain H or chain L,chain B or chain A
868,7u0p,D,I,B,3.76,01/08/09,26262,chain D or chain I,chain B
869,7z3a,G,I,F,3.95,01/08/09,14474,chain G or chain I,chain F
465,7uhz,I,M,B,3.3,01/08/09,26520,chain I or chain M,chain B
339,7upa,C,F,D,2.5,01/08/09,26659,chain C or chain F,chain D
338,7upa,B,E,G,2.5,01/08/09,26659,chain B or chain E,chain G
337,7upa,H,L,A,2.5,01/08/09,26659,chain H or chain L,chain A
316,8sb4,M,N,K,3.6,01/08/09,40290,chain M or chain N,chain K
315,8sb4,H,I,F,3.6,01/08/09,40290,chain H or chain I,chain F
314,8sb4,C,D,A,3.6,01/08/09,40290,chain C or chain D,chain A
301,8saz,M,N,K,3.9,01/08/09,40285,chain M or chain N,chain K
300,8saz,H,I,E,3.9,01/08/09,40285,chain H or chain I,chain E
299,8saz,C,D,A,3.9,01/08/09,40285,chain C or chain D,chain A
286,8sau,M,N,K,3.3,01/08/09,40280,chain M or chain N,chain K
285,8sau,H,I,F,3.3,01/08/09,40280,chain H or chain I,chain F
284,8sau,C,D,A,3.3,01/08/09,40280,chain C or chain D,chain A
381,7sof,H,L,A,3.6,01/08/09,25269,chain H or chain L,chain A
382,7soe,B,L,A,2.8,01/08/09,25268,chain B or chain L,chain A
383,7soe,E,D,C,2.8,01/08/09,25268,chain E or chain D,chain C
268,8dy6,K,L,I,4.32,01/08/09,27776,chain K or chain L,chain I
267,8dy6,G,H,E,4.32,01/08/09,27776,chain G or chain H,chain E
266,8dy6,C,D,A,4.32,01/08/09,27776,chain C or chain D,chain A
384,7soe,H,G,F,2.8,01/08/09,25268,chain H or chain G,chain F
917,7t0z,H,L,D | E,3.0,01/08/09,25585,chain H or chain L,chain D or chain E
916,7t0w,H,L,D | C,3.0,01/08/09,25583,chain H or chain L,chain D or chain C
