,pdb,Hchain,Lchain,antigen_chain,resolution,date,mrc,antibody_selection,antigen_selection
0,8g4m,D,E,A | C,2.95,07/12/23,29725,chain D or chain E,chain A or chain C
1,8g4m,H,L,F | I,2.95,07/12/23,29725,chain H or chain L,chain F or chain I
2,8g4m,J,K,B | G,2.95,07/12/23,29725,chain J or chain K,chain B or chain G
6,7xd2,D,J,C,3.3,07/12/23,33133,chain D or chain J,chain C
7,7xd2,E,H,B,3.3,07/12/23,33133,chain E or chain H,chain B
8,7xd2,I,L,A,3.3,07/12/23,33133,chain I or chain L,chain A
9,7yd1,A,B,C,2.99,07/12/23,33745,chain A or chain B,chain C
12,8gto,H,L,A,3.2,07/12/23,34259,chain H or chain L,chain A
13,8gto,I,M,B,3.2,07/12/23,34259,chain I or chain M,chain B
14,8gto,J,N,C,3.2,07/12/23,34259,chain J or chain N,chain C
15,8gtp,H,L,A,3.1,07/12/23,34261,chain H or chain L,chain A
16,8gtp,I,M,B,3.1,07/12/23,34261,chain I or chain M,chain B
17,8gtp,J,N,C,3.1,07/12/23,34261,chain J or chain N,chain C
18,8gtq,H,L,A,3.1,07/12/23,34263,chain H or chain L,chain A
19,8gtq,I,M,B,3.1,07/12/23,34263,chain I or chain M,chain B
20,8gtq,J,N,C,3.1,07/12/23,34263,chain J or chain N,chain C
21,8ded,H,L,K | J,4.1,07/05/23,27390,chain H or chain L,chain K or chain J
22,8ded,U,V,G | F,4.1,07/05/23,27390,chain U or chain V,chain G or chain F
23,8def,S,T,G | F,4.2,07/05/23,27392,chain S or chain T,chain G or chain F
24,8def,U,V,K | J,4.2,07/05/23,27392,chain U or chain V,chain K or chain J
25,8c8t,C,D,A,3.2,01/08/09,16493,chain C or chain D,chain A
26,8c8t,H,K,F,3.2,01/08/09,16493,chain H or chain K,chain F
27,8c8t,R,T,F,3.2,01/08/09,16493,chain R or chain T,chain F
28,8c8t,S,U,G,3.2,01/08/09,16493,chain S or chain U,chain G
29,8cim,D,E,A,3.0,07/05/23,16678,chain D or chain E,chain A
30,8cim,F,G,B,3.0,07/05/23,16678,chain F or chain G,chain B
31,8cim,H,L,C,3.0,07/05/23,16678,chain H or chain L,chain C
32,8de3,B,C,A,3.3,07/05/23,27383,chain B or chain C,chain A
35,8dun,H,L,G,5.84,07/05/23,27723,chain H or chain L,chain G
36,8dun,I,M,K,5.84,07/05/23,27723,chain I or chain M,chain K
37,8dun,N,O,B,5.84,07/05/23,27723,chain N or chain O,chain B
38,8gou,I,J,A,3.7,06/28/23,34181,chain I or chain J,chain A
39,8gou,H,K,C,3.7,06/28/23,34181,chain H or chain K,chain C
40,7yve,I,H,C,3.4,06/28/23,34124,chain I or chain H,chain C
41,7yve,L,K,A,3.4,06/28/23,34124,chain L or chain K,chain A
42,7yve,O,N,B,3.4,06/28/23,34124,chain O or chain N,chain B
43,7yvf,C,A,B,3.4,06/28/23,34125,chain C or chain A,chain B
44,7yvg,I,H,B,3.4,06/28/23,34126,chain I or chain H,chain B
45,7yvg,K,J,C,3.4,06/28/23,34126,chain K or chain J,chain C
46,7yvg,M,L,A,3.4,06/28/23,34126,chain M or chain L,chain A
51,7yvj,C,A,B,3.6,06/28/23,34129,chain C or chain A,chain B
52,7yvk,H,I,B,3.2,06/28/23,34130,chain H or chain I,chain B
53,7yvk,K,L,C,3.2,06/28/23,34130,chain K or chain L,chain C
54,7yvk,N,O,A,3.2,06/28/23,34130,chain N or chain O,chain A
55,7yvl,A,C,B,3.3,06/28/23,34131,chain A or chain C,chain B
56,7yvm,C,A,B,3.5,06/28/23,34132,chain C or chain A,chain B
57,7yvn,L,K,A,3.4,06/28/23,34133,chain L or chain K,chain A
58,7yvn,O,N,C,3.4,06/28/23,34133,chain O or chain N,chain C
59,7yvn,I,H,B,3.4,06/28/23,34133,chain I or chain H,chain B
64,7yvp,L,M,C,3.8,06/28/23,34135,chain L or chain M,chain C
65,7yvp,P,O,C,3.8,06/28/23,34135,chain P or chain O,chain C
66,7yvp,K,H,A,3.8,06/28/23,34135,chain K or chain H,chain A
67,7yvp,I,J,A,3.8,06/28/23,34135,chain I or chain J,chain A
68,8deq,H,L,F | D,6.0,06/28/23,27395,chain H or chain L,chain F or chain D
69,8der,X,Y,B,3.3,06/28/23,27396,chain X or chain Y,chain B
70,8der,H,L,A,3.3,06/28/23,27396,chain H or chain L,chain A
71,8der,W,V,C,3.3,06/28/23,27396,chain W or chain V,chain C
72,7y6l,H,L,A,3.5,06/21/23,33643,chain H or chain L,chain A
74,8e1m,H,L,C,2.9,06/21/23,27825,chain H or chain L,chain C
77,8e8s,H,L,1 | 2 | 3,2.73,06/21/23,27948,chain H or chain L,chain 1 or chain 2 or chain 3
78,8e8x,H,L,1 | 2 | 3,2.91,06/21/23,27949,chain H or chain L,chain 1 or chain 2 or chain 3
79,8e8y,H,L,1 | 2 | 3,2.5,06/21/23,27950,chain H or chain L,chain 1 or chain 2 or chain 3
80,8e8z,H,L,1 | 2 | 3,3.15,06/21/23,27951,chain H or chain L,chain 1 or chain 2 or chain 3
82,8j1q,B,A,C,3.3,06/21/23,35930,chain B or chain A,chain C
83,8j26,B,A,C,3.4,06/21/23,35945,chain B or chain A,chain C
84,8scx,H,L,C,2.7,06/21/23,40346,chain H or chain L,chain C
85,7y1b,H,L,A,3.23,06/14/23,33559,chain H or chain L,chain A
86,8esv,H,L,A,3.3,06/14/23,28580,chain H or chain L,chain A
87,8cxh,H,L,A,3.2,01/08/09,27056,chain H or chain L,chain A
88,8cxh,h,l,C | B,3.2,01/08/09,27056,chain h or chain l,chain C or chain B
91,8dis,H,L,d | D,2.62,06/07/23,27441,chain H or chain L,chain d or chain D
92,8dis,A,C,e | E,2.62,06/07/23,27441,chain A or chain C,chain e or chain E
93,8dis,B,G,f | F,2.62,06/07/23,27441,chain B or chain G,chain f or chain F
94,7wt7,H,D,C,3.4,06/07/23,32770,chain H or chain D,chain C
95,7wt8,H,D,C,3.6,06/07/23,32771,chain H or chain D,chain C
96,7wt8,J,I,A,3.6,06/07/23,32771,chain J or chain I,chain A
97,7wt9,H,A,E,4.3,06/07/23,32772,chain H or chain A,chain E
99,8cxg,H,L,A,3.2,01/08/09,27055,chain H or chain L,chain A
100,8cxg,h,l,C,3.2,01/08/09,27055,chain h or chain l,chain C
101,8cxg,1,2,B,3.2,01/08/09,27055,chain 1 or chain 2,chain B
102,8ejh,H,L,A,3.71,06/07/23,28182,chain H or chain L,chain A
103,8ejh,J,K,C,3.71,06/07/23,28182,chain J or chain K,chain C
104,8ejh,h,l,B,3.71,06/07/23,28182,chain h or chain l,chain B
105,8eji,H,L,A,3.81,06/07/23,28183,chain H or chain L,chain A
106,8ejj,H,L,c,3.22,06/07/23,28184,chain H or chain L,chain c
107,8ejj,I,J,b,3.22,06/07/23,28184,chain I or chain J,chain b
108,8ejj,h,l,a,3.22,06/07/23,28184,chain h or chain l,chain a
109,8czz,C,D,B,3.14,05/31/23,27103,chain C or chain D,chain B
110,8czz,G,H,F,3.14,05/31/23,27103,chain G or chain H,chain F
111,8czz,K,L,J,3.14,05/31/23,27103,chain K or chain L,chain J
112,8czz,M,N,A,3.14,05/31/23,27103,chain M or chain N,chain A
113,8czz,O,P,E,3.14,05/31/23,27103,chain O or chain P,chain E
114,8czz,Q,R,I,3.14,05/31/23,27103,chain Q or chain R,chain I
116,8dww,H,L,N,3.13,05/31/23,27763,chain H or chain L,chain N
117,8dww,V,U,M,3.13,05/31/23,27763,chain V or chain U,chain M
118,8dww,X,W,O,3.13,05/31/23,27763,chain X or chain W,chain O
119,8dww,Z,Y,P,3.13,05/31/23,27763,chain Z or chain Y,chain P
120,8dwx,H,L,P,3.27,05/31/23,27765,chain H or chain L,chain P
121,8dwx,V,U,M,3.27,05/31/23,27765,chain V or chain U,chain M
122,8dwx,X,W,N,3.27,05/31/23,27765,chain X or chain W,chain N
123,8dwx,Z,Y,O,3.27,05/31/23,27765,chain Z or chain Y,chain O
124,8dwy,H,L,P,3.18,05/31/23,27767,chain H or chain L,chain P
125,8dwy,V,U,M,3.18,05/31/23,27767,chain V or chain U,chain M
126,8dwy,X,W,N,3.18,05/31/23,27767,chain X or chain W,chain N
127,8dwy,Z,Y,O,3.18,05/31/23,27767,chain Z or chain Y,chain O
129,8fl1,H,L,I | G | C,3.75,01/08/09,29264,chain H or chain L,chain I or chain G or chain C
131,8g30,E,F,M,3.1,05/31/23,29686,chain E or chain F,chain M
132,8g30,G,I,N,3.1,05/31/23,29686,chain G or chain I,chain N
133,8g30,H,L,O,3.1,05/31/23,29686,chain H or chain L,chain O
134,8g30,J,K,P,3.1,05/31/23,29686,chain J or chain K,chain P
135,8g3m,E,F,G,3.0,05/31/23,29704,chain E or chain F,chain G
136,8g3m,A,D,J,3.0,05/31/23,29704,chain A or chain D,chain J
137,8g3m,C,I,L,3.0,05/31/23,29704,chain C or chain I,chain L
138,8g3n,E,F,G,2.9,05/31/23,29705,chain E or chain F,chain G
139,8g3n,A,D,J,2.9,05/31/23,29705,chain A or chain D,chain J
140,8g3n,B,H,K,2.9,05/31/23,29705,chain B or chain H,chain K
141,8g3n,C,I,L,2.9,05/31/23,29705,chain C or chain I,chain L
142,8g3o,E,F,H,3.1,05/31/23,29706,chain E or chain F,chain H
143,8g3o,A,D,G,3.1,05/31/23,29706,chain A or chain D,chain G
144,8g3o,C,I,B,3.1,05/31/23,29706,chain C or chain I,chain B
145,8g3p,C,I,B,2.5,05/31/23,29707,chain C or chain I,chain B
146,8g3p,F,J,A,2.5,05/31/23,29707,chain F or chain J,chain A
147,8g3p,G,K,D,2.5,05/31/23,29707,chain G or chain K,chain D
148,8g3p,H,L,E,2.5,05/31/23,29707,chain H or chain L,chain E
149,8g3q,C,B,G,2.3,05/31/23,29708,chain C or chain B,chain G
150,8g3q,I,D,E,2.3,05/31/23,29708,chain I or chain D,chain E
151,8g3q,A,L,F,2.3,05/31/23,29708,chain A or chain L,chain F
152,8g3r,C,B,G,2.3,05/31/23,29709,chain C or chain B,chain G
153,8g3v,A,L,G,2.2,05/31/23,29710,chain A or chain L,chain G
154,8g3v,B,M,H,2.2,05/31/23,29710,chain B or chain M,chain H
155,8g3v,C,N,I,2.2,05/31/23,29710,chain C or chain N,chain I
156,8g3v,D,O,J,2.2,05/31/23,29710,chain D or chain O,chain J
157,8g3z,H,L,C,2.3,05/31/23,29711,chain H or chain L,chain C
158,8g3z,E,F,D,2.3,05/31/23,29711,chain E or chain F,chain D
159,8g3z,G,I,A,2.3,05/31/23,29711,chain G or chain I,chain A
160,8g3z,J,K,B,2.3,05/31/23,29711,chain J or chain K,chain B
161,8g40,A,L,G,2.8,05/31/23,29712,chain A or chain L,chain G
162,8g40,B,M,H,2.8,05/31/23,29712,chain B or chain M,chain H
163,8g40,C,N,I,2.8,05/31/23,29712,chain C or chain N,chain I
164,8gnk,H,L,A,3.1,05/31/23,34167,chain H or chain L,chain A
165,8h07,E,J,C,2.9,05/31/23,34410,chain E or chain J,chain C
166,8h07,N,O,C,2.9,05/31/23,34410,chain N or chain O,chain C
167,8h07,G,H,B,2.9,05/31/23,34410,chain G or chain H,chain B
168,8h07,I,K,B,2.9,05/31/23,34410,chain I or chain K,chain B
169,8h07,M,P,A,2.9,05/31/23,34410,chain M or chain P,chain A
170,8h07,Q,R,A,2.9,05/31/23,34410,chain Q or chain R,chain A
171,8h08,D,J,C,3.2,05/31/23,34411,chain D or chain J,chain C
172,8h08,N,O,C,3.2,05/31/23,34411,chain N or chain O,chain C
173,8h08,F,H,B,3.2,05/31/23,34411,chain F or chain H,chain B
174,8h08,I,K,B,3.2,05/31/23,34411,chain I or chain K,chain B
175,8h08,L,P,A,3.2,05/31/23,34411,chain L or chain P,chain A
176,8h08,Q,R,A,3.2,05/31/23,34411,chain Q or chain R,chain A
177,8go8,H,L,A | V,3.41,05/17/23,34173,chain H or chain L,chain A or chain V
178,8go8,I,M,B | U,3.41,05/17/23,34173,chain I or chain M,chain B or chain U
179,8goc,D,E,A | G,4.18,05/17/23,34175,chain D or chain E,chain A or chain G
180,8goc,H,L,B | U,4.18,05/17/23,34175,chain H or chain L,chain B or chain U
181,8goc,M,N,C | V,4.18,05/17/23,34175,chain M or chain N,chain C or chain V
185,8gp3,H,L,A | V,4.8,05/17/23,34188,chain H or chain L,chain A or chain V
186,8gp3,I,M,B | U,4.8,05/17/23,34188,chain I or chain M,chain B or chain U
187,8i0n,H,L,A | V,3.26,05/17/23,35104,chain H or chain L,chain A or chain V
188,8i0n,I,M,B | U,3.26,05/17/23,35104,chain I or chain M,chain B or chain U
189,8i0q,H,L,A | V,4.45,05/17/23,35106,chain H or chain L,chain A or chain V
190,8i0q,I,M,B | U,4.45,05/17/23,35106,chain I or chain M,chain B or chain U
191,8i0z,D,E,A | G,4.33,05/17/23,35114,chain D or chain E,chain A or chain G
192,8i0z,H,L,B | U,4.33,05/17/23,35114,chain H or chain L,chain B or chain U
193,8i0z,M,N,C | V,4.33,05/17/23,35114,chain M or chain N,chain C or chain V
197,8g6i,C,B,A,4.23,05/24/23,29770,chain C or chain B,chain A
201,8a99,R,O,A,2.5,05/10/23,15273,chain R or chain O,chain A
202,8a99,S,P,B,2.5,05/10/23,15273,chain S or chain P,chain B
